"","State","date","p_cli_ksmooth_slope","predicted"
"1","India Chandigarh",2021-06-13,7.72200242425761e-05,"0.839687234105481"
"2","India Meghalaya",2021-06-13,0.00011464187425014,"0.545585222186703"
"3","India Mizoram",2021-06-13,3.22012524373791e-05,"0"
"4","India Sikkim",2021-06-13,7.48778549458477e-05,"0.167498728948393"
"16","India Arunachal Pradesh",2021-06-13,0.000179996271812158,"0.537831356561535"
"21","India Assam",2021-06-13,0.000122952953923824,"0.544236840455032"
"31","India Himachal Pradesh",2021-06-13,1.01732924112329e-05,"0"
"41","India Kerala",2021-06-13,4.17591846493467e-06,"1.69754467930766"
"5","India Manipur",2021-06-13,0.000108461138177307,"1.00143174238578"
"6","India Nagaland",2021-06-13,9.9643986836543e-05,"1.2899602469302"
"7","India Odisha",2021-06-13,6.1908876389561e-05,"2.23128498359607"
"8","India Puducherry",2021-06-13,5.54296950278262e-05,"2.48289140609185"
"9","India Tamil Nadu",2021-06-13,5.48140998185842e-05,"1.29740595020781"
"10","India Tripura",2021-06-13,6.46551747136639e-05,"0.0443856275773378"
"17","India Jammu and Kashmir",2021-06-13,-5.657233797568e-05,"0.995885667420225"
"22","India Karnataka",2021-06-13,-3.86868452839258e-05,"0.876750306226313"
"32","India Punjab",2021-06-13,-7.75297939968299e-05,"1.1354833925725"
"42","India Telangana",2021-06-13,-5.43673653059795e-05,"0.981198332825443"
"18","India Andhra Pradesh",2021-06-13,-7.87384029319604e-05,"0.977238637802657"
"23","India Bihar",2021-06-13,-0.000180370361866515,"1.48038219226873"
"33","India Chhattisgarh",2021-06-13,-0.000143997583212964,"1.3003135472245"
"43","India Delhi",2021-06-13,-0.000214823712511119,"1.65094843429688"
"51","India Goa",2021-06-13,-0.000118486723701636,"1.17401838704245"
"61","India Gujarat",2021-06-13,-1.13136249067711e-05,"0.643442626867909"
"71","India Haryana",2021-06-13,-0.000149990173516974,"1.32998072296323"
"81","India Jharkhand",2021-06-13,-0.000231330167373093,"1.73266600088391"
"101","India Madhya Pradesh",2021-06-13,-4.16818438727616e-05,"0.793784840017906"
"11","India Maharashtra",2021-06-13,-4.38354082914517e-05,"0.804446368812933"
"12","India Rajasthan",2021-06-13,-0.000132931795890644,"1.24553078375175"
"13","India Uttar Pradesh",2021-06-13,-0.000181236395142469,"1.48466961391387"
"14","India Uttarakhand",2021-06-13,-0.000141493237315587,"1.28791542453109"
"15","India West Bengal",2021-06-13,-6.02511972449121e-05,"0.885715080832597"
