date,country,region,Confirmed,Deaths,Recovered,Active,ISO2,ISO3,Active_7days
2021-01-01,India,Delhi,625369,10536,609322,5511,IN,IND,
2021-01-02,India,Delhi,626448,10571,610535,5342,IN,IND,
2021-01-03,India,Delhi,626872,10585,611243,5044,IN,IND,
2021-01-04,India,Delhi,627256,10597,611970,4689,IN,IND,
2021-01-05,India,Delhi,627698,10609,612527,4562,IN,IND,
2021-01-06,India,Delhi,628352,10625,613246,4481,IN,IND,
2021-01-07,India,Delhi,628838,10644,614026,4168,IN,IND,4828.142857142857
2021-01-08,India,Delhi,628838,10644,614026,4168,IN,IND,4636.285714285715
2021-01-09,India,Delhi,629801,10666,615452,3683,IN,IND,4399.285714285715
2021-01-10,India,Delhi,630200,10678,616054,3468,IN,IND,4174.142857142857
2021-01-11,India,Delhi,630506,10691,616461,3354,IN,IND,3983.4285714285716
2021-01-12,India,Delhi,630892,10707,617006,3179,IN,IND,3785.8571428571427
2021-01-13,India,Delhi,631249,10718,617540,2991,IN,IND,3573.0
2021-01-14,India,Delhi,631589,10722,617930,2937,IN,IND,3397.1428571428573
2021-01-15,India,Delhi,631884,10732,618357,2795,IN,IND,3201.0
2021-01-16,India,Delhi,632183,10738,618754,2691,IN,IND,3059.285714285714
2021-01-17,India,Delhi,632429,10746,619139,2544,IN,IND,2927.285714285714
2021-01-18,India,Delhi,632590,10754,619501,2335,IN,IND,2781.714285714286
2021-01-19,India,Delhi,632821,10764,619723,2334,IN,IND,2661.0
2021-01-20,India,Delhi,633049,10774,620128,2147,IN,IND,2540.4285714285716
2021-01-21,India,Delhi,633276,10782,620374,2120,IN,IND,2423.714285714286
2021-01-22,India,Delhi,633542,10789,620693,2060,IN,IND,2318.714285714286
2021-01-23,India,Delhi,633739,10799,621060,1880,IN,IND,2202.8571428571427
2021-01-24,India,Delhi,633924,10808,621375,1741,IN,IND,2088.1428571428573
2021-01-25,India,Delhi,634072,10813,621565,1694,IN,IND,1996.5714285714287
2021-01-26,India,Delhi,634229,10820,621783,1626,IN,IND,1895.4285714285713
2021-01-27,India,Delhi,634325,10829,621995,1501,IN,IND,1803.142857142857
2021-01-28,India,Delhi,634524,10835,622114,1575,IN,IND,1725.2857142857142
2021-01-29,India,Delhi,634773,10841,622381,1551,IN,IND,1652.5714285714287
2021-01-30,India,Delhi,634956,10849,622671,1436,IN,IND,1589.142857142857
2021-01-31,India,Delhi,635096,10853,622882,1361,IN,IND,1534.857142857143
2021-02-01,India,Delhi,635217,10856,623096,1265,IN,IND,1473.5714285714287
2021-02-02,India,Delhi,635331,10858,623256,1217,IN,IND,1415.142857142857
2021-02-03,India,Delhi,635481,10864,623409,1208,IN,IND,1373.2857142857142
2021-02-04,India,Delhi,635639,10871,623574,1194,IN,IND,1318.857142857143
2021-02-05,India,Delhi,635793,10873,623714,1206,IN,IND,1269.5714285714287
2021-02-06,India,Delhi,635916,10877,623865,1174,IN,IND,1232.142857142857
