"country","region","date","Confirmed","Deaths","Recovered","Active","ISO2","ISO3"
"India","Andaman and Nicobar Islands",2021-01-01,4945,62,4826,57,"IN","IND"
"India","Andhra Pradesh",2021-01-01,882286,7108,871916,3262,"IN","IND"
"India","Arunachal Pradesh",2021-01-01,16719,56,16564,99,"IN","IND"
"India","Assam",2021-01-01,216211,1045,211910,3256,"IN","IND"
"India","Bihar",2021-01-01,251743,1397,245476,4870,"IN","IND"
"India","Chandigarh",2021-01-01,19748,317,19045,386,"IN","IND"
"India","Chhattisgarh",2021-01-01,279575,3371,264769,11435,"IN","IND"
"India","Dadra and Nagar Haveli and Daman and Diu",2021-01-01,3378,2,3365,11,"IN","IND"
"India","Delhi",2021-01-01,625369,10536,609322,5511,"IN","IND"
"India","Goa",2021-01-01,51066,739,49388,939,"IN","IND"
"India","Gujarat",2021-01-01,245038,4306,230893,9839,"IN","IND"
"India","Haryana",2021-01-01,262325,2905,255853,3567,"IN","IND"
"India","Himachal Pradesh",2021-01-01,55277,934,51728,2615,"IN","IND"
"India","Jammu and Kashmir",2021-01-01,120971,1883,116079,3009,"IN","IND"
"India","Jharkhand",2021-01-01,115113,1030,112424,1659,"IN","IND"
"India","Karnataka",2021-01-01,919496,12090,896116,11290,"IN","IND"
"India","Kerala",2021-01-01,760933,3072,692480,65381,"IN","IND"
"India","Ladakh",2021-01-01,9466,127,9144,195,"IN","IND"
"India","Lakshadweep",2021-01-01,0,0,0,0,"IN","IND"
"India","Madhya Pradesh",2021-01-01,241791,3606,228831,9354,"IN","IND"
"India","Maharashtra",2021-01-01,1932112,49521,1828546,54045,"IN","IND"
"India","Manipur",2021-01-01,28188,355,26678,1155,"IN","IND"
"India","Meghalaya",2021-01-01,13427,139,13139,149,"IN","IND"
"India","Mizoram",2021-01-01,4216,8,4098,110,"IN","IND"
"India","Nagaland",2021-01-01,11927,79,11646,202,"IN","IND"
"India","Odisha",2021-01-01,329621,1873,325432,2316,"IN","IND"
"India","Puducherry",2021-01-01,38132,633,37115,384,"IN","IND"
"India","Punjab",2021-01-01,166522,5341,157496,3685,"IN","IND"
"India","Rajasthan",2021-01-01,308243,2696,295987,9560,"IN","IND"
"India","Sikkim",2021-01-01,5889,127,5233,529,"IN","IND"
"India","Tamil Nadu",2021-01-01,818014,12122,797391,8501,"IN","IND"
"India","Telangana",2021-01-01,286815,1544,279456,5815,"IN","IND"
