"ISO2","ISO_3","country_agg","region_agg","date","count","cli","cli_weight","cliWHO","cliWHO_weight","cli_local","count_local","weight","count_7days","cli_7days","cli_weight_7days","cliWHO_7days","cliWHO_weight_7days","cli_local_7days","count_local_7days","weight_7days","p_cli","p_cli_weight","p_cliWHO","p_cliWHO_weight","p_cli_local","p_cli_7days","p_cliWHO_7days","p_cli_local_7days","p_cli_smooth","p_cli_weight_smooth","p_cliWHO_smooth","p_cliWHO_weight_smooth","p_cli_local_smooth","slope_cli_smooth_7days","slope_cliWHO_smooth_7days","slope_cli_weight_smooth_7days","slope_cliWHO_weight_smooth_7days","slope_cli_local_smooth_7days"
"IN","IND","India","Andhra Pradesh",2020-12-21,195,0,0,0,0,37,185,13194543.613569,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.0028169014084507,NA,NA,NA,0.00206537454045351,0.00176938057850853,1.34837934323239e-06,2.72670472833741e-06,0.00223463702611325,NA,NA,NA,NA,NA
"IN","IND","India","Bihar",2020-12-21,210,0,0,0,0,15,198,23493221.2732852,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00106700810926163,NA,NA,NA,0.0100149291023235,0.010714276801899,0.00258104856814841,0.00252000443317256,0.00209087372256034,NA,NA,NA,NA,NA
"IN","IND","India","Gujarat",2020-12-21,240,2,185658.642300153,1,102253.92921038,73,233,19057881.5545922,NA,NA,NA,NA,NA,NA,NA,NA,0.00833333333333333,0.00974183000184599,0.00416666666666667,0.00536544048285058,0.00441274254971891,NA,NA,NA,0.00782141893449657,0.00681947991797914,0.00150018839766277,0.00108741868455948,0.00264326104701287,NA,NA,NA,NA,NA
"IN","IND","India","Haryana",2020-12-21,199,2,93994.434799921,1,69793.1261140389,44,188,10637995.3966951,NA,NA,NA,NA,NA,NA,NA,NA,0.0100502512562814,0.00883572809489299,0.0050251256281407,0.00656074039435302,0.00329637398861253,NA,NA,NA,0.00497442331319434,0.00837875414333565,0.00185076752026641,0.00297843344075384,0.00282767887147144,NA,NA,NA,NA,NA
"IN","IND","India","Karnataka",2020-12-21,246,1,74214.5083913636,1,74214.5083913636,22,236,18348300.1888419,NA,NA,NA,NA,NA,NA,NA,NA,0.0040650406504065,0.00404476205575139,0.0040650406504065,0.00404476205575139,0.00131296252088804,NA,NA,NA,0.00517921198733122,0.00519057307425947,0.00156912836337419,0.00111386524628771,0.00130172772889542,NA,NA,NA,NA,NA
"IN","IND","India","Kerala",2020-12-21,227,0,0,0,0,58,216,17947925.2172354,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00378195096504956,NA,NA,NA,0.00973646740965378,0.00795660015312365,0.0017207220329905,0.00379052152928743,0.00479259064975248,NA,NA,NA,NA,NA
"IN","IND","India","Madhya Pradesh",2020-12-21,192,2,273319.268091762,2,273319.268091762,46,176,19261859.0597425,NA,NA,NA,NA,NA,NA,NA,NA,0.0104166666666667,0.014189661924326,0.0104166666666667,0.014189661924326,0.00368117797695263,NA,NA,NA,0.00575939182533907,0.00600088126928639,0.00186778749818651,0.00191331606768912,0.00242321210794133,NA,NA,NA,NA,NA
"IN","IND","India","Maharashtra",2020-12-21,272,2,155576.592620151,1,108561.077807764,29,253,24727609.9956675,NA,NA,NA,NA,NA,NA,NA,NA,0.00735294117647059,0.00629161462217374,0.00367647058823529,0.00439027782413201,0.00161442966096977,NA,NA,NA,0.00442769500122665,0.00484244660153902,0.00158815113076867,0.00210510156723659,0.00189563670219263,NA,NA,NA,NA,NA
"IN","IND","India","NCT of Delhi",2020-12-21,296,2,76585.1133931807,1,40996.2414870458,86,284,8226800.11692565,NA,NA,NA,NA,NA,NA,NA,NA,0.00675675675675676,0.00930922257800042,0.00337837837837838,0.0049832548383789,0.00426502678040071,NA,NA,NA,0.00378138403786401,0.0042327442392456,0.000792368915473547,0.00223837252485574,0.00276784244215572,NA,NA,NA,NA,NA
"IN","IND","India","Odisha",2020-12-21,103,0,0,0,0,24,95,11269823.6191996,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00355819125277984,NA,NA,NA,0.0046949926730573,0.00338291492961037,0.00123482826285825,0.00118858758121537,0.00211860481455609,NA,NA,NA,NA,NA
"IN","IND","India","Rajasthan",2020-12-21,173,2,178883.605985422,0,0,19,157,17713239.7749199,NA,NA,NA,NA,NA,NA,NA,NA,0.0115606936416185,0.0100988643669072,0,0,0.00170449448282049,NA,NA,NA,0.00571719613898543,0.00516058003345803,0.00252991531175119,0.00254292766310305,0.00218911652021716,NA,NA,NA,NA,NA
"IN","IND","India","Tamil Nadu",2020-12-21,227,2,214445.185824021,0,0,45,216,20658148.9473239,NA,NA,NA,NA,NA,NA,NA,NA,0.00881057268722467,0.0103806583237846,0,0,0.00293427230046948,NA,NA,NA,0.00268145695603129,0.00294520646360026,0.000517156928966697,0.000385183328028501,0.00200396028440618,NA,NA,NA,NA,NA
"IN","IND","India","Telangana",2020-12-21,207,3,111376.456619595,2,53787.1880502763,14,185,10932503.1242895,NA,NA,NA,NA,NA,NA,NA,NA,0.0144927536231884,0.0101876446183804,0.00966183574879227,0.0049199334716652,0.00106585458698135,NA,NA,NA,0.00519323930199281,0.00374757665930174,0.00150427815762605,0.000841650573498238,0.00252107592411721,NA,NA,NA,NA,NA
"IN","IND","India","Uttar Pradesh",2020-12-21,283,4,428914.301489107,1,102666.283131065,47,264,36908976.4843511,NA,NA,NA,NA,NA,NA,NA,NA,0.0141342756183746,0.0116208668552746,0.00353356890459364,0.00278160742752089,0.00250746905676483,NA,NA,NA,0.00934099136917617,0.0121001912609076,0.00181497048775576,0.00155234024803246,0.00180954955977754,NA,NA,NA,NA,NA
